,date,close,open,high,low,changes_%
0,2020-09-25 00:00:00,1174.32,1169.6,1178.03,1168.35,0.45
1,2020-09-25 01:00:00,1174.32,1169.6,1178.03,1168.35,0.45
2,2020-09-25 02:00:00,1174.32,1169.6,1178.03,1168.35,0.45
3,2020-09-25 03:00:00,1174.32,1169.6,1178.03,1168.35,0.45
4,2020-09-25 04:00:00,1174.32,1169.6,1178.03,1168.35,0.45
5,2020-09-25 05:00:00,1174.32,1169.6,1178.03,1168.35,0.45
6,2020-09-25 06:00:00,1174.32,1169.6,1178.03,1168.35,0.45
7,2020-09-25 07:00:00,1174.32,1169.6,1178.03,1168.35,0.45
8,2020-09-25 08:00:00,1174.32,1169.6,1178.03,1168.35,0.45
9,2020-09-25 09:00:00,1174.32,1169.6,1178.03,1168.35,0.45
10,2020-09-25 10:00:00,1174.32,1169.6,1178.03,1168.35,0.45
11,2020-09-25 11:00:00,1174.32,1169.6,1178.03,1168.35,0.45
12,2020-09-25 12:00:00,1174.32,1169.6,1178.03,1168.35,0.45
13,2020-09-25 13:00:00,1174.32,1169.6,1178.03,1168.35,0.45
14,2020-09-25 14:00:00,1174.32,1169.6,1178.03,1168.35,0.45
15,2020-09-25 15:00:00,1174.32,1169.6,1178.03,1168.35,0.45
16,2020-09-25 16:00:00,1174.32,1169.6,1178.03,1168.35,0.45
17,2020-09-25 17:00:00,1174.32,1169.6,1178.03,1168.35,0.45
18,2020-09-25 18:00:00,1174.32,1169.6,1178.03,1168.35,0.45
19,2020-09-25 19:00:00,1174.32,1169.6,1178.03,1168.35,0.45
20,2020-09-25 20:00:00,1174.32,1169.6,1178.03,1168.35,0.45
21,2020-09-25 21:00:00,1174.32,1169.6,1178.03,1168.35,0.45
22,2020-09-25 22:00:00,1174.32,1169.6,1178.03,1168.35,0.45
23,2020-09-25 23:00:00,1174.32,1169.6,1178.03,1168.35,0.45
24,2020-09-26 00:00:00,1174.32,1169.6,1178.03,1168.35,0.45
25,2020-09-26 01:00:00,1174.32,1169.6,1178.03,1168.35,0.45
26,2020-09-26 02:00:00,1174.32,1169.6,1178.03,1168.35,0.45
27,2020-09-26 03:00:00,1174.32,1169.6,1178.03,1168.35,0.45
28,2020-09-26 04:00:00,1174.32,1169.6,1178.03,1168.35,0.45
29,2020-09-26 05:00:00,1174.32,1169.6,1178.03,1168.35,0.45
30,2020-09-26 06:00:00,1174.32,1169.6,1178.03,1168.35,0.45
31,2020-09-26 07:00:00,1174.32,1169.6,1178.03,1168.35,0.45
32,2020-09-26 08:00:00,1174.32,1169.6,1178.03,1168.35,0.45
33,2020-09-26 09:00:00,1174.32,1169.6,1178.03,1168.35,0.45
34,2020-09-26 10:00:00,1174.32,1169.6,1178.03,1168.35,0.45
35,2020-09-26 11:00:00,1174.32,1169.6,1178.03,1168.35,0.45
36,2020-09-26 12:00:00,1174.32,1169.6,1178.03,1168.35,0.45
37,2020-09-26 13:00:00,1174.32,1169.6,1178.03,1168.35,0.45
