,date,close
0,2021-09-27 9:00:00,1178
1,2021-09-27 9:01:00,1178
2,2021-09-27 9:02:00,1178
3,2021-09-27 9:03:00,1178
4,2021-09-27 9:04:00,1178
5,2021-09-27 9:05:00,1178
6,2021-09-27 9:06:00,1178
7,2021-09-27 9:07:00,1178
8,2021-09-27 9:08:00,1178
9,2021-09-27 9:09:00,1178
10,2021-09-27 9:10:00,1178
11,2021-09-27 9:11:00,1178
12,2021-09-27 9:12:00,1178
13,2021-09-27 9:13:00,1178
14,2021-09-27 9:14:00,1178
15,2021-09-27 9:15:00,1178
16,2021-09-27 9:16:00,1178
17,2021-09-27 9:17:00,1178
18,2021-09-27 9:18:00,1178
19,2021-09-27 9:19:00,1178
20,2021-09-27 9:20:00,1178
21,2021-09-27 9:21:00,1178
22,2021-09-27 9:22:00,1178
23,2021-09-27 9:23:00,1178
24,2021-09-27 9:24:00,1178
25,2021-09-27 9:25:00,1178
26,2021-09-27 9:26:00,1178
27,2021-09-27 9:27:00,1178
28,2021-09-27 9:28:00,1178
29,2021-09-27 9:29:00,1178
30,2021-09-27 9:30:00,1178
31,2021-09-27 9:31:00,1178
32,2021-09-27 9:32:00,1178
33,2021-09-27 9:33:00,1178
34,2021-09-27 9:34:00,1178
35,2021-09-27 9:35:00,1178
36,2021-09-27 9:36:00,1178
37,2021-09-27 9:37:00,1178
38,2021-09-27 9:38:00,1178
39,2021-09-27 9:39:00,1178
40,2021-09-27 9:40:00,1178
41,2021-09-27 9:41:00,1178
42,2021-09-27 9:42:00,1178
43,2021-09-27 9:43:00,1178
44,2021-09-27 9:44:00,1178
45,2021-09-27 9:45:00,1178
46,2021-09-27 9:46:00,1178
47,2021-09-27 9:47:00,1178
48,2021-09-27 9:48:00,1178
49,2021-09-27 9:49:00,1178
50,2021-09-27 9:50:00,1178
51,2021-09-27 9:51:00,1178
52,2021-09-27 9:52:00,1178
53,2021-09-27 9:53:00,1178
54,2021-09-27 9:54:00,1178
55,2021-09-27 9:55:00,1178
56,2021-09-27 9:56:00,1178
57,2021-09-27 9:57:00,1178
58,2021-09-27 9:58:00,1178
59,2021-09-27 9:59:00,1178
60,2021-09-27 10:00:00,1178
61,2021-09-27 10:01:00,1178
62,2021-09-27 10:02:00,1178
63,2021-09-27 10:03:00,1178
64,2021-09-27 10:04:00,1178
65,2021-09-27 10:05:00,1178
66,2021-09-27 10:06:00,1178
67,2021-09-27 10:07:00,1178
68,2021-09-27 10:08:00,1178
69,2021-09-27 10:09:00,1178
70,2021-09-27 10:10:00,1178
71,2021-09-27 10:11:00,1178
72,2021-09-27 10:12:00,1178
73,2021-09-27 10:13:00,1178
74,2021-09-27 10:14:00,1178
75,2021-09-27 10:15:00,1178
76,2021-09-27 10:16:00,1178
77,2021-09-27 10:17:00,1178
78,2021-09-27 10:18:00,1178
79,2021-09-27 10:19:00,1178
80,2021-09-27 10:20:00,1178
81,2021-09-27 10:21:00,1178
82,2021-09-27 10:22:00,1178
83,2021-09-27 10:23:00,1178
84,2021-09-27 10:24:00,1178
85,2021-09-27 10:25:00,1178
86,2021-09-27 10:26:00,1178
87,2021-09-27 10:27:00,1178
88,2021-09-27 10:28:00,1178
89,2021-09-27 10:29:00,1178
90,2021-09-27 10:30:00,1178
91,2021-09-27 10:31:00,1178
92,2021-09-27 10:32:00,1178
93,2021-09-27 10:33:00,1178
94,2021-09-27 10:34:00,1178
95,2021-09-27 10:35:00,1178
96,2021-09-27 10:36:00,1178
97,2021-09-27 10:37:00,1178
98,2021-09-27 10:38:00,1178
99,2021-09-27 10:39:00,1178
100,2021-09-27 10:40:00,1178
101,2021-09-27 10:41:00,1178
102,2021-09-27 10:42:00,1178
103,2021-09-27 10:43:00,1178
104,2021-09-27 10:44:00,1178
105,2021-09-27 10:45:00,1178
106,2021-09-27 10:46:00,1178
107,2021-09-27 10:47:00,1178
108,2021-09-27 10:48:00,1178
109,2021-09-27 10:49:00,1178
110,2021-09-27 10:50:00,1178
111,2021-09-27 10:51:00,1178
112,2021-09-27 10:52:00,1178
113,2021-09-27 10:53:00,1178
114,2021-09-27 10:54:00,1178
115,2021-09-27 10:55:00,1178
