ts,o,h,l,c
2020/10/06,4.19000000,4.20500000,3.57900000,3.63500000
2020/10/07,3.62700000,3.95500000,3.48500000,3.94100000
2020/10/08,3.93600000,4.06600000,3.63400000,3.95700000
2020/10/09,3.95400000,4.38900000,3.75800000,4.29400000
2020/10/10,4.29300000,4.50000000,4.17800000,4.29600000
2020/10/11,4.29600000,4.31300000,4.03500000,4.17200000
2020/10/12,4.17200000,4.79900000,4.08100000,4.63700000
2020/10/13,4.64000000,4.73000000,4.34400000,4.50600000
2020/10/14,4.51300000,4.59900000,4.23500000,4.27300000
2020/10/15,4.26900000,4.28500000,3.87100000,3.91200000
2020/10/16,3.90700000,4.14500000,3.72000000,3.91300000
2020/10/17,3.91400000,4.03400000,3.82800000,3.96000000
2020/10/18,3.95800000,4.02900000,3.88900000,3.95700000
2020/10/19,3.96400000,3.97000000,3.69200000,3.72500000
2020/10/20,3.71900000,3.72900000,3.34300000,3.70200000
2020/10/21,3.70800000,3.79600000,3.47600000,3.51700000
2020/10/22,3.51700000,4.09200000,3.51000000,3.89400000
2020/10/23,3.90100000,3.94000000,3.66400000,3.80200000
2020/10/24,3.80000000,3.88200000,3.70700000,3.77400000
2020/10/25,3.77500000,3.78400000,3.55500000,3.65500000
2020/10/26,3.66000000,3.73000000,3.45000000,3.54300000
2020/10/27,3.53700000,3.69400000,3.45000000,3.55100000
2020/10/28,3.56000000,3.84900000,3.33900000,3.59100000
2020/10/29,3.59700000,3.79500000,3.22700000,3.24000000
2020/10/30,3.23600000,3.24900000,2.93500000,3.10200000
2020/10/31,3.10500000,3.14000000,3.00900000,3.01700000
2020/11/01,3.01400000,3.03600000,2.71800000,2.90400000
2020/11/02,2.90600000,3.00800000,2.61000000,2.61200000
2020/11/03,2.62000000,2.62000000,2.47000000,2.57100000
2020/11/04,2.57600000,2.76800000,2.47100000,2.72700000
2020/11/05,2.72900000,3.29000000,2.54700000,3.16100000
2020/11/06,3.16300000,3.70000000,3.14700000,3.53500000
2020/11/07,3.53600000,4.68000000,3.52500000,3.76100000
2020/11/08,3.76300000,4.55500000,3.70000000,4.40900000
2020/11/09,4.41100000,4.59800000,3.95600000,4.24300000
2020/11/10,4.24100000,4.94000000,4.11700000,4.67200000
2020/11/11,4.67000000,4.77300000,3.98200000,3.99700000
2020/11/12,3.99700000,4.27100000,3.71200000,3.76200000
2020/11/13,3.76200000,4.46300000,3.75100000,4.22200000
2020/11/14,4.22200000,4.50000000,3.86000000,4.31000000
2020/11/15,4.31300000,4.57900000,3.95600000,4.12500000
2020/11/16,4.13700000,4.57000000,4.06500000,4.42300000
2020/11/17,4.42600000,5.42300000,4.41500000,5.07400000
